Gender,Age,Salary,Purchased
Male,19,19000,NO
Female,35,20000,NO
Female,26,43000,NO
Female,,57000,NO
Male,19,76000,NO
Female,,,NO
Female,27,84000,NO
Male,32,150000,YES
Female,25,33000,NO
Male,35,65000,NO
Male,26,80000,NO
Male,26,52000,NO
Female,20,86000,NO
Female,32,18000,NO
Male,18,82000,NO
Male,29,80000,NO
Male,47,25000,YES
Male,45,26000,YES
Female,46,28000,YES
Female,48,29000,YES
Male,45,22000,YES
Female,47,49000,YES
Male,48,41000,YES
Male,45,22000,YES
Female,46,23000,YES
Female,47,20000,YES
Female,49,28000,YES
Female,47,30000,YES
Female,29,43000,NO
Female,31,18000,NO
Female,31,74000,NO
Male,27,137000,YES
Female,21,16000,NO
Female,,44000,NO
Female,27,90000,NO
Male,35,27000,NO
Female,33,28000,NO
Female,30,49000,NO
Male,26,72000,NO
Female,27,31000,NO
Female,27,17000,NO
Female,33,51000,NO
Male,35,108000,NO
Female,30,15000,NO
Female,28,84000,NO
Female,23,20000,NO
Male,25,79000,NO
Male,27,54000,NO
Male,30,135000,YES
Female,31,89000,NO
Male,24,32000,NO
Female,18,44000,NO
Male,29,83000,NO
Female,35,23000,NO
Male,27,58000,NO
Female,24,55000,NO
Female,23,48000,NO
Female,28,79000,NO
Male,22,18000,NO
Female,32,117000,NO
Male,27,20000,NO
Female,25,,NO
Female,23,66000,NO
Female,32,120000,YES
Female,59,83000,NO
Female,24,58000,NO
Female,24,19000,NO
Male,23,82000,NO
Male,22,63000,NO
Female,31,68000,NO
Male,25,80000,NO
Female,24,27000,NO
Male,20,23000,NO
Male,33,113000,NO
Female,32,18000,NO
Female,34,112000,YES
Female,18,52000,NO
Female,22,27000,NO
Male,28,87000,NO
Male,26,17000,NO
Male,30,80000,NO
Female,39,42000,NO
Male,20,49000,NO
Female,35,88000,NO
Female,30,62000,NO
Female,31,118000,YES
Male,24,55000,NO
Male,28,85000,NO
Male,26,81000,NO
Female,35,50000,NO
Female,22,81000,NO
Female,30,,NO
Male,26,15000,NO
Female,29,28000,NO
Female,29,83000,NO
Female,35,44000,NO
Female,35,25000,NO
Male,28,123000,YES
Male,35,73000,NO
Female,28,37000,NO
Male,27,88000,NO
Female,28,59000,NO
Female,32,86000,NO
Female,33,149000,YES
Female,19,21000,NO
Female,21,72000,NO
Female,26,35000,NO
Female,27,89000,NO
Male,26,86000,NO
Male,38,80000,NO
Male,39,71000,NO
Female,37,71000,NO
Female,38,61000,NO
Female,37,55000,NO
Male,42,80000,NO
Female,40,57000,NO
Female,35,75000,NO
Female,36,52000,NO
Male,40,59000,NO
Female,41,59000,NO
Female,36,75000,NO
Female,37,72000,NO
Male,40,75000,NO
Male,35,53000,NO
Female,41,51000,NO
Female,39,61000,NO
Female,42,65000,NO
Male,26,32000,NO
Female,30,17000,NO
Male,26,84000,NO
Male,31,58000,NO
Female,33,31000,NO
Female,30,87000,NO
Male,21,68000,NO
Female,28,55000,NO
Female,23,63000,NO
Female,20,82000,NO
Male,30,107000,YES
Male,28,59000,NO
Female,19,25000,NO
Male,,85000,NO
Male,18,68000,NO
Male,35,59000,NO
Male,30,89000,NO
Male,34,25000,NO
Male,24,89000,NO
Female,27,96000,YES
Male,41,30000,NO
Male,29,61000,NO
Female,20,74000,NO
Male,26,15000,NO
Female,41,45000,NO
Male,31,76000,NO
Male,36,50000,NO
Female,40,47000,NO
Female,31,15000,NO
Male,46,59000,NO
Male,29,75000,NO
Male,26,30000,NO
Female,32,135000,YES
Female,32,100000,YES
Male,25,90000,NO
Female,37,33000,NO
Female,35,38000,NO
Male,33,69000,NO
Female,18,86000,NO
Female,22,55000,NO
Male,35,71000,NO
Female,29,148000,YES
Male,29,47000,NO
Female,21,88000,NO
Female,34,115000,NO
Male,26,118000,NO
Male,34,43000,NO
Female,34,72000,NO
Female,23,28000,NO
Male,35,47000,NO
Male,,22000,NO
Female,24,23000,NO
Female,31,34000,NO
Male,26,16000,NO
Female,31,71000,NO
